runtime, var  , query , n_s , n_st , timerange
34.168 , 3.329 , q6 , 80 , 8 , hour
519.521 , 37.467 , q6 , 80 , 8 , day
3769.777 , 118.713 , q6 , 80 , 8 , week
5.868 , 0.605 , q6 , 80 , 10 , minute
37.302 , 2.285 , q6 , 80 , 10 , hour
643.199 , 29.108 , q6 , 80 , 10 , day
4746.111 , 186.826 , q6 , 80 , 10 , week
3.034 , 0.715 , q6 , 100 , 2 , minute
12.021 , 0.7 , q6 , 100 , 2 , hour
129.915 , 8.595 , q6 , 100 , 2 , day
942.855 , 39.947 , q6 , 100 , 2 , week
4.557 , 3.078 , q6 , 100 , 4 , minute
25.236 , 15.851 , q6 , 100 , 4 , hour
260.386 , 36.093 , q6 , 100 , 4 , day
1923.07 , 73.989 , q6 , 100 , 4 , week
4.019 , 0.617 , q6 , 100 , 6 , minute
27.244 , 2.431 , q6 , 100 , 6 , hour
403.485 , 30.472 , q6 , 100 , 6 , day
2837.216 , 57.005 , q6 , 100 , 6 , week
7.797 , 6.573 , q6 , 100 , 8 , minute
38.643 , 3.984 , q6 , 100 , 8 , hour
505.712 , 26.855 , q6 , 100 , 8 , day
3758.862 , 90.325 , q6 , 100 , 8 , week
8.326 , 6.89 , q6 , 100 , 10 , minute
38.18 , 4.094 , q6 , 100 , 10 , hour
642.091 , 33.002 , q6 , 100 , 10 , day
4678.302 , 143.337 , q6 , 100 , 10 , week
